"ID","CH","E","DOWN_AMP","DUR","N","P2P_AMP","SLOPE_NEG1","SLOPE_NEG2","SLOPE_POS1","SLOPE_POS2","UP_AMP"
"study_002","C4M1",304,-44.7233094559856,1.71,1,77.0759200963393,-162.630215612201,107.767010477635,323.526103168276,-35.1658810925955,32.3526106403537
"study_002","C4M1",305,-111.244550878632,1.315,1,176.249354109668,-204.118441604612,889.956399909403,684.26107943974,-118.190551114265,65.0048032310363
"study_001","C4M1",306,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",307,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",308,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",309,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",310,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",311,-85.2505337977032,1.92,1,123.245881308935,-321.70012632454,250.73686337343,230.274832005798,-33.0394325897322,37.9953475112315
"study_001","C4M1",312,-73.9799731753749,1.73,1,119.990330257993,-246.599909762583,238.645073989451,119.507420683405,-62.5991251973053,46.0103570826185
"study_002","C4M1",312,-73.9799731753749,1.73,1,119.990330257993,-246.599909762583,238.645073989451,119.507420683405,-62.5991251973053,46.0103570826185
"study_001","C4M1",313,-54.8173153865572,1.355,1,97.1326046538031,-163.633776784846,171.304110047666,101.964552205497,-148.474698662355,42.3152892672459
"study_001","C4M1",314,-46.239122764525,1.33,1,76.3647080343554,-151.603680698103,237.123705268725,105.703807593427,-55.2763031459708,30.1255852698304
